Film,Year,Kill_Count,IMDB_url
24 Hour Party People,2002,7,http://www.imdb.com/title/tt0274309/
3:10 To Yuma,2007,45,http://www.imdb.com/title/tt0381849/
300,2007,,http://www.imdb.com/title/tt0416449/
8MM,1999,1,http://www.imdb.com/title/tt0134273/
The Abominable Dr. Phibes,1971,10,http://www.imdb.com/title/tt0066740/
Above the Law,1988,18,http://www.imdb.com/title/tt0094602/
Action Jackson,1988,5,http://www.imdb.com/title/tt0094612/
The Adventures of Ford Fairlane,1990,7,http://www.imdb.com/title/tt0098987/
Aeon Flux,2005,58,http://us.imdb.com/title/tt0402022/
Akira,1988,119,http://www.imdb.com/title/tt0094625/
Ali G Indahouse,2002,11,http://www.imdb.com/title/tt0284837/
Alien,1979,2,http://www.imdb.com/title/tt0078748/
Aliens vs. Predator: Requiem,2007,115,http://www.imdb.com/title/tt0758730/
Alpha Dog,2007,3,http://imdb.com/title/tt0426883/
Altered States,1980,5,http://www.imdb.com/title/tt0080360/
American Gangster,2007,15,http://www.imdb.com/title/tt0765429/
American Ninja,1985,114,http://www.imdb.com/title/tt0088708/
American Pop,1981,61,http://www.imdb.com/title/tt0082009/
American Psycho,2000,18,http://amazon.imdb.com/title/tt0144084/
American Yakuza,1993,53,http://www.imdb.com/title/tt0109099/
Another Day In Paradise,1997,9,http://www.imdb.com/title/tt0127722/
Apocalypse Now,1979,62,http://imdb.com/title/tt0078788/
Apocalypto,2006,114,http://www.imdb.com/title/tt0472043/
Appaloosa,2008,10,http://www.imdb.com/title/tt0800308/
Armageddon,1998,16,http://www.imdb.com/title/tt0120591/
The Evil Dead III,1993,107,http://www.imdb.com/title/tt0106308/
Assault On Precinct 13,1976,39,http://www.imdb.com/title/tt0074156/
Assault On Precinct 13,2005,21,http://imdb.com/title/tt0398712/
Atonement,2007,34,http://www.imdb.com/title/tt0783233/
Austin Powers in Goldmember,2002,6,http://www.imdb.com/title/tt0295178/
Bad Boys,1995,30,http://www.imdb.com/title/tt0112442/
Bad Boys II,2003,4,http://www.imdb.com/title/tt0172156/
Bangkok Dangerous,2008,38,http://www.imdb.com/title/tt0814022/
The Bank Job,2008,4,http://www.imdb.com/title/tt0200465/
District B13,2004,34,http://www.imdb.com/title/tt0414852/
Barton Fink,1991,3,http://www.imdb.com/title/tt0101410/
Batman,1989,56,http://imdb.com/title/tt0096895/
Batman Begins,2005,18,http://www.imdb.com/title/tt0372784/
Batman Returns,1992,18,http://www.imdb.com/title/tt0103776/
A Better Tomorrow,1986,65,http://www.imdb.com/title/tt0092263/
A Better Tomorrow II,1987,199,http://imdb.com/title/tt0094357/
The Big Hit,1998,38,http://www.imdb.com/title/tt0120609/
Big Trouble In Little China,1986,46,http://www.imdb.com/title/tt0090728/
The Black Dahlia,2006,13,http://imdb.com/title/tt0387877/
Blade,1998,14,http://www.imdb.com/title/tt0120611/
Blade II,2002,77,http://www.imdb.com/title/tt0187738/
Blade: Trinity,2004,4,http://www.imdb.com/title/tt0359013/
Blade Runner,1982,5,http://www.imdb.com/title/tt0083658/
BloodRayne,2006,102,http://www.imdb.com/title/tt0383222/
Blood Diamond,2006,187,http://www.imdb.com/title/tt0450259/
The Boondock Saints,1999,33,http://www.imdb.com/title/tt0144117/
The Bourne Identity,2002,8,http://www.imdb.com/title/tt0258463/
The Bourne Supremacy,2004,9,http://www.imdb.com/title/tt0372183/
The Bourne Ultimatum,2007,,http://www.imdb.com/title/tt0440963/
Braveheart,1995,10,http://www.imdb.com/title/tt0112573/
Brazil,1985,3,http://imdb.com/title/tt0088846/
Bridge of Dragons,1999,109,http://www.imdb.com/title/tt0194722/
Broken Arrow,1996,25,http://www.imdb.com/title/tt0115759/
Brotherhood,2001,10,http://www.imdb.com/title/tt0237534/
Buffalo Soldiers,2001,16,http://www.imdb.com/title/tt0252299/
Bullet in the Head,1990,214,http://imdb.com/title/tt0099426/
Bulletproof Monk,2003,37,http://www.imdb.com/title/tt0245803/
Cabin Fever,2002,19,http://www.imdb.com/title/tt0303816/
Casino,1995,25,http://www.imdb.com/title/tt0112641/
Casino Royale,2006,,http://www.imdb.com/title/tt0381061
Charlie Wilson's War,2007,22,http://www.imdb.com/title/tt0472062/
Charlie's Angels: Full Throttle,2003,39,http://imdb.com/title/tt0305357/
Children of Men,2006,77,http://www.imdb.com/title/tt0206634/
Christine,1983,6,http://www.imdb.com/title/tt0085333/
A Christmas Story,1983,4,http://www.imdb.com/title/tt0085334/
Chronicles of Narnia,2005,86,http://www.imdb.com/title/tt0363771/
The Chronicles of Riddick,2004,3,http://www.imdb.com/title/tt0296572/
Circus,2000,8,http://www.imdb.com/title/tt0191037/
Class of 1999,1990,43,http://www.imdb.com/title/tt0099277/
Clear & Present Danger,1994,41,http://www.imdb.com/title/tt0109444/
A Clockwork Orange,1971,7,http://www.imdb.com/title/tt0066921/
Cloverfield,2008,27,http://www.imdb.com/title/tt1060277/
Collateral,2004,17,http://www.imdb.com/title/tt0369339/
Confessions of a,2002,50,http://www.imdb.com/title/tt0290538/
Commando,1985,88,http://www.imdb.com/title/tt0088944/
Con Air,1997,12,http://www.imdb.com/title/tt0118880/
Conspiracy Theory,1997,7,http://www.imdb.com/title/tt0118883/
The Constant Gardener,2005,18,http://www.imdb.com/title/tt0387131/
Constantine,2005,7,http://www.imdb.com/title/tt0360486/
Hitman,1998,25,http://www.imdb.com/title/tt0163818/
The Corruptor,1999,37,http://www.imdb.com/title/tt0142192/
The Count of Monte Cristo,2002,5,http://www.imdb.com/title/tt0245844/
Cradle 2 the Grave,2003,13,http://imdb.com/title/tt0306685/
Crank,2006,29,http://www.imdb.com/title/tt0479884/
Creepshow,1982,15,http://www.imdb.com/title/tt0083767/
Crime Spree,2003,20,http://www.imdb.com/title/tt0310924/
Crouching Tiger Hidden Dragon,2000,14,http://www.imdb.com/title/tt0190332/
The Crow,1994,35,http://www.imdb.com/title/tt0109506/
The Crucible,1996,12,http://www.imdb.com/title/tt0115988/
Dark Blue,2002,8,http://www.imdb.com/title/tt0279331/
The Dark Knight,2008,36,http://www.imdb.com/title/tt0468569/
Day of the Dead,1985,40,http://www.imdb.com/title/tt0088993/
Dawn of the Dead,1978,175,http://www.imdb.com/title/tt0077402/
Dawn of the Dead,2004,131,http://imdb.com/title/tt0363547/
Death Sentence,2007,15,http://www.imdb.com/title/tt0804461/
Death to Smoochy,2002,3,http://www.imdb.com/title/tt0266452/
Delta Force 2,1990,5,http://www.imdb.com/title/tt0099399/
Demolition Man,1993,25,http://www.imdb.com/title/tt0106697/
The Departed,2006,21,http://www.imdb.com/title/tt0407887/
Desperado,1995,80,http://www.imdb.com/title/tt0112851/
The Devil's Rejects,2005,30,http://www.imdb.com/title/tt0395584/
Diamonds are Forever,1971,29,http://www.imdb.com/title/tt0066995/
Die Hard,1988,2,http://www.imdb.com/title/tt0095016/
Die Hard 2,1990,1,http://www.imdb.com/title/tt0099423/
Die Hard with a Vengeance,1995,2,http://www.imdb.com/title/tt0112864/
District B13,2004,34,http://www.imdb.com/title/tt0414852/
Disturbia,2007,10,http://www.imdb.com/title/tt0486822/
Domino,2005,51,http://www.imdb.com/title/tt0421054/
Donnie Darko,2001,3,http://www.imdb.com/title/tt0246578/
Dr. No,1962,8,http://www.imdb.com/title/tt0055928/
Dracula 2000,2000,2,http://www.imdb.com/title/tt0219653/
Dune,1984,186,http://www.imdb.com/title/tt0087182/
Equilibrium,2002,236,http://us.imdb.com/title?0238380
Eraser,1996,4,http://www.imdb.com/title/tt0116213/
Escape From New York,1981,10,http://www.imdb.com/title/tt0082340
Evil Dead II,1987,8,http://www.imdb.com/title/tt0092991/
The Evil Dead III,1993,107,http://www.imdb.com/title/tt0106308/
eXistenZ,1999,11,http://www.imdb.com/title/tt0120907/
Exit Wounds,2001,38,http://imdb.com/title/tt0242445/
Face/Off,1997,56,http://imdb.com/title/tt0119094/
Fair Game,1995,21,http://www.imdb.com/title/tt0113010/
Fantastic Four: Rise of the Silver Surfer,2007,6,http://www.imdb.com/title/tt0486576/
Fear and Loathing in Las Vegas,1998,10,http://www.imdb.com/title/tt0120669/
Fearless,2006,5,http://www.imdb.com/title/tt0446059/
The Fifth Element,1997,80,http://amazon.imdb.com/title/tt0119116/
Fight Club,1999,14,http://www.imdb.com/title/tt0137523/
Firewall,2006,5,http://www.imdb.com/title/tt0408345/
A Fistful of Dollars,1964,109,http://www.imdb.com/title/tt0058461/
Flags of Our Fathers,2006,93,http://www.imdb.com/title/tt0418689/
The Fly 2,1989,8,http://www.imdb.com/title/tt0097368/
The Fog,1980,6,http://www.imdb.com/title/tt0080749/
Fool's Gold,2008,3,http://www.imdb.com/title/tt0770752/
For a Few Dollars More,1965,42,http://www.imdb.com/title/tt0059578/
For Your Eyes Only,1981,42,http://www.imdb.com/title/tt0082398
Formula 51,2001,22,http://www.imdb.com/title/tt0227984/
Four Brothers,2005,16,http://www.imdb.com/title/tt0430105/
The French Connection,1971,12,http://www.imdb.com/title/tt0067116/
Friday the 13th,2009,14,http://www.imdb.com/title/tt0758746/
From Dusk Till Dawn,1996,122,http://www.imdb.com/title/tt0116367/
From Russia With Love,1963,21,http://www.imdb.com/title/tt0057076/
The Fugitive,1993,5,http://www.imdb.com/title/tt0106977/
Gangster No. 1,2000,7,http://www.imdb.com/title/tt0210065/
Get Carter,2000,5,http://www.imdb.com/title/tt0208988/
Ghost Rider,2007,52,http://www.imdb.com/title/tt0259324/
Gladiator,2000,77,http://www.imdb.com/title/tt0172495/
GoldenEye,1995,57,http://www.imdb.com/title/tt0113189
Goldfinger,1964,62,http://www.imdb.com/title/tt0058150/
The Good Shepherd,2006,5,http://www.imdb.com/title/tt0343737/
The Good the Bad and the Ugly,1966,126,http://www.imdb.com/title/tt0060196/
Grindhouse: Death Proof,2007,8,http://www.imdb.com/title/tt1028528/
Grindhouse: Double Feature,2007,310,http://www.imdb.com/title/tt0462322/
Grindhouse: Planet Terror,2007,281,http://www.imdb.com/title/tt1077258/
Grosse Pointe Blank,1997,16,http://www.imdb.com/title/tt0119229/
The Guardian,2006,11,http://www.imdb.com/title/tt0406816/
Hamlet,1990,3,http://www.imdb.com/title/tt0099726/
Hannibal,2001,15,http://www.imdb.com/title/tt0212985/
Hard Boiled,1992,307,http://www.imdb.com/title/tt0104684/
Hard to Kill,1990,19,http://www.imdb.com/title/tt0099739/
Harry Potter & the Goblet of Fire,2005,3,http://www.imdb.com/title/tt0330373/
Heat,1995,4,http://www.imdb.com/title/tt0113277/
Hellboy,2004,42,http://www.imdb.com/title/tt0167190/
Hero,2002,152,http://www.imdb.com/title/tt0299977/
A History of Violence,2005,13,http://www.imdb.com/title/tt0399146/
Hitman,1998,25,http://www.imdb.com/title/tt0163818/
Hitman,2007,55,http://www.imdb.com/title/tt0465494/
Hollow Point,1996,17,http://www.imdb.com/title/tt0113313/
Hostage,2005,5,http://www.imdb.com/title/tt0340163/
Hot Fuzz,2007,29,http://www.imdb.com/title/tt0425112/
Lloyd Bridges Valeria Golino Richard Crenna Brenda Bakke Miguel Ferrer,1993,114,http://imdb.com/title/tt0107144/
House of the Dead,2003,141,http://www.imdb.com/title/tt0317676/
House on Haunted Hill,1999,30,http://www.imdb.com/title/tt0185371/
The Hunt for Red October,1990,7,http://www.imdb.com/title/tt0099810/
I Am Legend,2007,71,http://www.imdb.com/title/tt0480249/
In Bruges,2008,5,http://www.imdb.com/title/tt0780536/
The Incredible Hulk,2008,41,http://www.imdb.com/title/tt0800080/
The Incredibles,2004,16,http://www.imdb.com/title/tt0372784/
Indiana Jones & the Kingdom of the Crystal Skull,2008,76,http://www.imdb.com/title/tt0367882/
Inside Man,2006,13,http://www.imdb.com/title/tt0454848/
The International,2009,18,http://www.imdb.com/title/tt0963178/
Invasion U.S.A.,1985,146,http://us.imdb.com/title/tt0089348/
Iron Man,2008,57,http://www.imdb.com/title/tt0371746/
The Island,2005,12,http://www.imdb.com/title/tt0399201/
Jack Brooks: Monster Slayer,2007,15,http://www.imdb.com/title/tt0816539/
The Jackal,1997,11,http://www.imdb.com/title/tt0119395/
Jackie Brown,1997,1,http://www.imdb.com/title/tt0119396/
Jason X,2001,27,http://www.imdb.com/title/tt0211443/
Jumper,2008,7,http://www.imdb.com/title/tt0489099/
Jurassic Park III,2001,1,http://www.imdb.com/title/tt0163025/
K-19: The Widowmaker,2002,10,http://www.imdb.com/title/tt0267626/
Kelly's Heroes,1970,139,http://www.imdb.com/title/tt0065938/
Kingdom of Heaven,2005,610,http://www.imdb.com/title/tt0320661/
Kill Bill: Vol. 1,2003,95,http://www.imdb.com/title/tt0266697/
Kill Bill: Vol. 2,2004,2,http://www.imdb.com/title/tt0378194/
The Killer,1989,149,http://www.imdb.com/title/tt0097202/
King Kong,2005,10,http://www.imdb.com/title/tt0360717/
King of New York,1990,38,http://www.imdb.com/title/tt0099939/
Kiss Kiss Bang Bang,2005,15,http://www.imdb.com/title/tt0373469/
Kung Fu Hustle,2004,3,http://www.imdb.com/title/tt0373074/
The Ladykillers,2004,5,http://www.imdb.com/title/tt0335245/
Last Action Hero,1993,45,http://www.imdb.com/title/tt0107362/
The Last Boy Scout,1991,26,http://www.imdb.com/title/tt0102266/
The Last House on the Left,2009,6,http://www.imdb.com/title/tt0844708/
The Last of the Mohicans,1992,172,http://www.imdb.com/title/tt0104691/
The Last Samurai,2003,558,http://www.imdb.com/title/tt0325710/
Layer Cake,2004,8,http://www.imdb.com/title/tt0375912/
The Legend of Zorro,2005,13,http://www.imdb.com/title/tt0386140/
Lethal Weapon,1987,2,http://www.imdb.com/title/tt0093409/
Lethal Weapon 2,1989,7,http://www.imdb.com/title/tt0097733/
Lethal Weapon 3,1992,3,http://www.imdb.com/title/tt0104714/
Lethal Weapon 4,1998,4,http://www.imdb.com/title/tt0122151/
Leon,1994,33,http://amazon.imdb.com/title/tt0110413/
Letters from Iwo Jima,2006,84,http://www.imdb.com/title/tt0498380/
Chronicles of Narnia,2005,86,http://www.imdb.com/title/tt0363771/
Live and Let Die,1973,11,http://www.imdb.com/title/tt0070328/
Lock Stock and Two Smoking Barrels,1998,16,http://www.imdb.com/title/tt0120735/
Lone Wolf and Cub: White Heaven in Hell,1974,169,http://www.imdb.com/title/tt0071695/
The Long Kiss Goodnight,1996,68,http://www.imdb.com/title/tt0116908/
The Lookout,2007,7,http://www.imdb.com/title/tt0427470/
Lord of the Rings,2001,2,http://www.imdb.com/title/tt0120737/
Lord of the Rings,2002,1,http://www.imdb.com/title/tt0167261/
Lord of the Rings,2003,836,http://imdb.com/title/tt0167260/
The Lost City,2005,41,http://www.imdb.com/title/tt0343996/
Lucky Number,2006,19,http://www.imdb.com/title/tt0425210/
The Machine Girl,2008,25,http://www.imdb.com/title/tt1050160/
Mad Max,1979,6,http://www.imdb.com/title/tt0079501/
Mad Max 2,1981,8,http://www.imdb.com/title/tt0082694/
Mad Max,1985,,http://www.imdb.com/title/tt0089530/
The Magnificent Seven,1960,55,http://www.imdb.com/title/tt0054047/
A Man Apart,2003,39,http://www.imdb.com/title/tt0266465/
The Man with the Golden Gun,1974,6,http://www.imdb.com/title/tt0071807/
Marked for Death,1990,34,http://www.imdb.com/title/tt0100114/
The Mask of Zorro,1998,26,http://www.imdb.com/title/tt0120746/
The Matrix,1999,39,http://www.imdb.com/title/tt0133093/
Maverick,1994,1,http://www.imdb.com/title/tt0110478/
Max Payne,2008,38,http://www.imdb.com/title/tt0467197/
Maximum Risk,1996,18,http://www.imdb.com/title/tt0117011/
McBain,1991,3,http://www.imdb.com/title/tt0102422/
Mean Machine,2001,3,http://www.imdb.com/title/tt0291341/
Memento,2000,4,http://www.imdb.com/title/tt0209144/
Milk,2008,4,http://www.imdb.com/title/tt1013753/
Minority Report,2002,4,http://www.imdb.com/title/tt0181689
Missing in Action,1984,100,http://www.imdb.com/title/tt0087727/
Mission: Impossible,1996,9,http://www.imdb.com/title/tt0117060/
Mission: Impossible II,2000,37,http://www.imdb.com/title/tt0120755/
Mission: Impossible III,2006,23,http://www.imdb.com/title/tt0317919/
The Mist,2007,46,http://www.imdb.com/title/tt0884328/
Mortal Kombat,1995,11,http://imdb.com/title/tt0113855/
Mr. & Mrs. Smith,2005,17,http://www.imdb.com/title/tt0356910/
Mr. Brooks,2007,,http://www.imdb.com/title/tt0780571/
The Mummy,1999,155,http://www.imdb.com/title/tt0120616/
Munich,2005,49,http://www.imdb.com/title/tt0408306/
The Musketeer,2001,56,http://www.imdb.com/title/tt0246544/
My Bloody Valentine 3D,2009,24,http://www.imdb.com/title/tt1179891/
The New World,2005,28,http://www.imdb.com/title/tt0402399/
Nightmare on Elm Street,1984,4,http://www.imdb.com/title/tt0087800/
No Country for Old Men,2007,22,http://www.imdb.com/title/tt0477348/
The Number 23,2007,4,http://www.imdb.com/title/tt0481369/
Octopussy,1983,46,http://www.imdb.com/title/tt0086034
The Omen,2006,1,http://www.imdb.com/title/tt0466909/
On Deadly Ground,1994,25,http://www.imdb.com/title/tt0110725/
On Her Majesty's Secret Service,1969,26,http://www.imdb.com/title/tt0064757
Once a Thief,1991,59,http://imdb.com/title/tt0101020/
Once Upon A Time In Mexico,2003,99,http://imdb.com/title/tt0285823/
Operation Delta Force,1997,120,http://www.imdb.com/title/tt0119839/
Out For Justice,1991,20,http://imdb.com/title/tt0102614/
Out of Sight,1998,9,http://www.imdb.com/title/tt0120780/
The Outlaw Josey Wales,1976,120,http://www.imdb.com/title/tt0075029/
Pan's Labyrinth,2006,30,http://www.imdb.com/title/tt0457430/
The Patriot,1998,42,http://www.imdb.com/title/tt0120786/
The Patriot,2000,123,http://www.imdb.com/title/tt0187393/
Patriot Games,1992,35,http://www.imdb.com/title/tt0105112/
Payback,1999,18,http://imdb.com/title/tt0120784/
Pearl Harbor,2001,153,http://imdb.com/title/tt0213149/
The Phantom,2004,3,http://www.imdb.com/title/tt0293508/
Pirates of the Caribbean: Curse of the Black Pearl,2003,1,http://www.imdb.com/title/tt0325980
Pirates of the Caribbean: Dead Man's Chest,2006,90,http://www.imdb.com/title/tt0383574/
Plan 9 from Outer Space,1959,7,http://www.imdb.com/title/tt0052077/
Platoon Leader,1988,106,http://www.imdb.com/title/tt0095877/
Point of No Return,1993,35,http://www.imdb.com/title/tt0107843/
Predator,1987,4,http://www.imdb.com/title/tt0093773/
The Prestige,2006,7,http://www.imdb.com/title/tt0482571/
Prince of Jutland,1994,7,http://www.imdb.com/title/tt0110891/
Leon,1994,33,http://amazon.imdb.com/title/tt0110413/
Pulp,1972,6,http://imdb.com/title/tt0069134/
Pulp Fiction,1994,10,http://www.imdb.com/title/tt0110912/
The Punisher,1989,54,http://www.imdb.com/title/tt0098141/
Push,2009,24,http://www.imdb.com/title/tt0465580/
Raiders of the Lost Ark,1981,84,http://www.imdb.com/title/tt0082971/
Rambo,2008,,http://www.imdb.com/title/tt0462499/
Rambo: First,1985,67,http://www.imdb.com/title/tt0089880/
Rambo III,1988,127,http://www.imdb.com/title/tt0095956/
Raw Deal,1986,38,http://www.imdb.com/title/tt0091828/
Red Dawn,1984,118,http://www.imdb.com/title/tt0087985/
Red Planet,2000,4,http://www.imdb.com/title/tt0199753/
Red Scorpion,1989,104,http://www.imdb.com/title/tt0098180/
Reign of Fire,2002,1,http://www.imdb.com/title/tt0253556/
The Replacement Killers,1998,38,http://www.imdb.com/title/tt0120008/
Reservoir Dogs,1992,12,http://www.imdb.com/title/tt0105236/
,2004,123,http://www.imdb.com/title/tt0318627/
Resident Evil,2007,124,http://www.imdb.com/title/tt0432021/
Riders,2002,1,http://imdb.com/title/tt0282552/
Ripley's Game,2002,11,http://www.imdb.com/title/tt0265651/
Ritana,2002,91,http://www.imdb.com/title/tt0339579/
Road House,1989,7,http://www.imdb.com/title/tt0098206/
RoboCop,1987,34,http://us.imdb.com/title/tt0093870/
RocknRolla,2008,11,http://www.imdb.com/title/tt1032755/
The Rock,1996,3,http://www.imdb.com/title/tt0117500/
Romeo is Bleeding,1993,15,http://us.imdb.com/title/tt0107983/
Ronin,1998,34,http://imdb.com/title/tt0122690/
Prince of Jutland,1994,7,http://www.imdb.com/title/tt0110891/
The Rundown,2003,46,http://www.imdb.com/title/tt0327850/
The Running Man,1987,41,http://www.imdb.com/title/tt0093894/
Running Scared,2006,2,http://www.imdb.com/title/tt0404390/
Sahara,2005,68,http://www.imdb.com/title/tt0318649/
Saving Private Ryan,1998,255,http://www.imdb.com/title/tt0120815/
Scarface,1983,44,http://www.imdb.com/title/tt0086250/
The Scorpion King,2002,15,http://www.imdb.com/title/tt0277296/
Secret of NIMH,1982,12,http://www.imdb.com/title/tt0084649/
Secret Window,2004,4,http://www.imdb.com/title/tt0363988/
Serenity,2005,74,http://www.imdb.com/title/tt0379786/
Severance,2006,28,http://www.imdb.com/title/tt0464196/
Shaft,2000,22,http://www.imdb.com/title/tt0162650/
Shaun of the Dead,2004,60,http://www.imdb.com/title/tt0365748/
The Shawshank Redemption,1994,4,http://www.imdb.com/title/tt0111161/
Shoot 'Em Up,2007,151,http://www.imdb.com/title/tt0465602/
Showdown in,1991,48,http://www.imdb.com/title/tt0102915/
Signs,2002,3,http://www.imdb.com/title/tt0286106/
The Silence of the Lambs,1991,3,http://www.imdb.com/title/tt0102926
Silent Trigger,1996,35,http://www.imdb.com/title/tt0117653/
Sin City,2005,53,http://www.imdb.com/title/tt0401792/
Sleepy Hollow,1999,25,http://www.imdb.com/title/tt0162661/
Slumdog Millionaire,2008,8,http://www.imdb.com/title/tt1010048/
Smokin' Aces,2007,47,http://www.imdb.com/title/tt0475394/
Snakes on a Plane,2006,60,http://www.imdb.com/title/tt0417148/
Snatch,2000,26,http://www.imdb.com/title/tt0208092/
Spartan,2004,1,http://www.imdb.com/title/tt0360009/
Speed,1994,7,http://www.imdb.com/title/tt0111257/
The Spy Who Loved Me,1977,73,http://www.imdb.com/title/tt0076752/
Stardust,2007,22,http://www.imdb.com/title/tt0486655/
Star Trek: Nemesis,2002,54,http://www.imdb.com/title/tt0253754/
Star Wars I,1999,4,http://www.imdb.com/title/tt0120915/
Star Wars II,2002,55,http://www.imdb.com/title/tt0121765/
Star Wars III,2005,115,http://www.imdb.com/title/tt0121766/
Star Wars IV,1977,75,http://www.imdb.com/title/tt0076759/
Star Wars V,1980,30,http://imdb.com/title/tt0080684/
Star Wars VI,1983,69,http://imdb.com/title/tt0086190/
Starship Troopers,1997,256,http://imdb.com/title/tt0120201/
Riders,2002,1,http://imdb.com/title/tt0282552/
Stone Cold,1991,45,http://www.imdb.com/title/tt0102984/
Strange Days,1995,12,http://us.imdb.com/title/tt0114558/
Strange Wilderness,2008,15,http://www.imdb.com/title/tt0489282/
Summer of Sam,1999,10,http://www.imdb.com/title/tt0162677/
Sunshine,2007,15,http://www.imdb.com/title/tt0448134/
Super Mario Bros.,1993,8,http://www.imdb.com/title/tt0108255/
Superman Returns,2006,10,http://imdb.com/title/tt0348150/
Sweeney Todd,2007,12,http://www.imdb.com/title/tt0408236/
Sweepers,1998,74,http://www.imdb.com/title/tt0120851/
Swordfish,2001,41,http://www.imdb.com/title/tt0244244/
Syriana,2005,11,http://www.imdb.com/title/tt0365737/
Taken,2008,35,http://www.imdb.com/title/tt0936501/
Tango & Cash,1989,20,http://www.imdb.com/title/tt0098439/
Taxi Driver,1976,4,http://www.imdb.com/title/tt0075314/
Team America,2004,781,http://www.imdb.com/title/tt0372588/
Terminator,1984,1,http://www.imdb.com/title/tt0088247/
Terminator 2,1991,7,http://www.imdb.com/title/tt0103064/
Terminator 3,2003,2,http://www.imdb.com/title/tt0181852/
There Will Be Blood,2007,4,http://www.imdb.com/title/tt0469494/
The Thing,1982,21,http://www.imdb.com/title/tt0084787/
Things to Do in Denver When You're Dead,1995,15,http://www.imdb.com/title/tt0114660/
The Third Man,1949,4,http://www.imdb.com/title/tt0041959/
Thunderball,1965,47,http://www.imdb.com/title/tt0059800/
Timeline,2003,1,http://www.imdb.com/title/tt0300556/
Titanic,1997,307,http://www.imdb.com/title/tt0120338/
To Die For,1995,2,http://us.imdb.com/title/tt0114681/
Tombstone,1993,1,http://www.imdb.com/title/tt0108358/
Total Recall,1990,77,http://www.imdb.com/title/tt0100802/
Transformers: The Movie,1986,47,http://www.imdb.com/title/tt0092106/
The Transporter,2002,3,http://www.imdb.com/title/tt0293662/
Transporter 2,2005,5,http://www.imdb.com/title/tt0388482/
Troy,2004,572,http://www.imdb.com/title/tt0332452/
True Lies,1994,51,http://www.imdb.com/title/tt0111503/
True Romance,1993,1,http://imdb.com/title/tt0108399/
Unbreakable,2000,4,http://www.imdb.com/title/tt217869/
Under Siege,1992,1,http://www.imdb.com/title/tt0105690/
Under Siege 2,1995,25,http://www.imdb.com/title/tt0114781/
Underworld,2003,18,http://www.imdb.com/title/tt0320691/
Underworld: Evolution,2006,75,http://www.imdb.com/title/tt0401855/
Universal Soldier,1992,47,http://www.imdb.com/title/tt0105698/
The Usual Suspects,1995,39,http://www.imdb.com/title/tt0114814/
V for Vendetta,2006,59,http://www.imdb.com/title/tt0434409/
Valkyrie,2008,18,http://www.imdb.com/title/tt0985699/
Vampires: The Turning,2005,53,http://www.imdb.com/title/tt0398378/
Versus,2000,127,http://www.imdb.com/title/tt0275773/
Videodrome,1983,8,http://www.imdb.com/title/tt0086541/
A View To A Kill,1985,37,http://www.imdb.com/title/tt0090264
Waist Deep,2006,5,http://imdb.com/title/tt0456020/
Walk Hard,2007,5,http://www.imdb.com/title/tt0841046/
Walking Tall,2004,6,http://www.imdb.com/title/tt0351977/
War,2007,97,http://www.imdb.com/title/tt0499556/
War Inc.,2008,73,http://www.imdb.com/title/tt0884224/
War or the Worlds,2005,50,http://www.imdb.com/title/tt0407304/
Wasabi,2001,22,http://www.imdb.com/title/tt0281364/
The Way of the Gun,2000,18,http://www.imdb.com/title/tt0202677/
We Were Soldiers,2002,305,http://www.imdb.com/title/tt0277434/
Where Eagles Dare,1968,100,http://www.imdb.com/title/tt0065207/
The Wild Bunch,1969,145,http://www.imdb.com/title/tt0065214/
X-Men,2000,6,http://www.imdb.com/title/tt0120903/
X2: X-Men United,2000,26,http://www.imdb.com/title/tt0290334/
X-Men,2006,57,http://www.imdb.com/title/tt0376994/
XXX,2002,75,http://www.imdb.com/title/tt0295701/
XXX: State of the Union,2005,66,http://www.imdb.com/title/tt0329774/
The Yakuza,1974,31,http://www.imdb.com/title/tt0073918/
The Yards,2000,2,http://imdb.com/title/tt0138946
You Kill Me,2007,10,http://www.imdb.com/title/tt0796375/
You Only Live Twice,1967,91,http://www.imdb.com/title/tt0062512
Zodiac,2007,3,http://www.imdb.com/title/tt0443706/
Zoolander,2001,4,http://www.imdb.com/title/tt0196229/
Zulu,1964,140,http://www.imdb.com/title/tt0058777/
