V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,State,Gender,SawSurvey,Intro,userid,q50,q258,q100,q181,q294,q286,q288,q1,q300,q121,q174,q127,q56,q7,q98,q237,q117,q172,q222,q313,q204,q405,q79,q210,q151,q173,q69,q168,q748,q269,q257,q195,q423,q9,q318,q276,q302,q22,q96,q328,q25,q15,q118,q183,q216,q176,q64,q234,q202,q28,q191,q89,q111,q275,q12,q742,q357,q82,q289,q135,q97,q238,q268,q546,q70,q333,q186,q196,q475,q153,q132,q125,q228,q144,q483,q194,q245,q323,q197,q185,q11,q282,q496,q568,q301,q265,q655,q182,q273,q143,q179,q180,q471,q161,q71,q8,q95,q427,q678,q322,q235,q435,q508,q88,q215,q271,q4,q603,q187,q385,q175,q200,q597,q211,q588,q515,q403,q208,q230,q272,q134,q250,q527,q474,q298,q284,q393,q209,q274,q340,q307,q124,q147,q13,q14,q23,q203,q732,q751,q514,q566,q480,q479,q591,q419,q283,q845,q83,q58,q327,q326,q24,q154,q432,q511,q255,q99,q133,q137,q229,q218,q651,q433,q188,q367,q451,q402,q684,q321,q628,q319,q582,q226,q199,q739,q523,q692,q411,q259,q66,q443,q410,q285,q227,q476,q248,q315,q472,q252,q193,q685,q150,q240,q690,q31,q660,q431,q498,q550,q77,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1KqM6X8qB0RrT7h,Default Response Set,Anonymous,,,143.167.136.113,0,2015-03-03 10:16:27,2015-03-03 10:41:58,1,,,1,1,Ten,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,2,,-1,,4,,,,,,,,,,,,,,,-1,-1,,,,-1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,-1,,,,2,,,,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,-1,,,,,2,53.36669921875,-1.5,-1,
R_VOwJpP0zpPjnFnP,Default Response Set,Anonymous,,,143.167.142.45,0,2015-03-03 10:16:14,2015-03-03 10:46:07,1,,,1,1,ABC123,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,4,,,,-1,,-1,2,-1,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,3,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,-1,53.36669921875,-1.5,-1,
R_7TFAClHkTuQLRf7,Default Response Set,Anonymous,,,143.167.49.102,0,2015-03-03 10:24:06,2015-03-03 10:57:15,1,,,1,1,drRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,-1,,,,-1,,,,,,-1,,,,,,,,,,,-1,,-1,,,,,,5,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,5,-1,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,-1,,,,,,,,,,,,-1,,,,,,,,,53.36669921875,-1.5,-1,
R_31ENlbEaimtfoXG,Default Response Set,Anonymous,,,143.167.119.37,0,2015-03-03 10:57:24,2015-03-03 11:00:59,1,,,1,1,Ligioseete,,-1,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,4,,,,,,,,,,,3,,,-1,-1,,,-1,,,,,,-1,,4,,,,,,,53.36669921875,-1.5,-1,
R_ewWZ1n281PBJusV,Default Response Set,Anonymous,,,94.197.121.165,0,2015-03-03 12:02:09,2015-03-03 12:05:15,1,,,1,1,Horseface,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,3,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,2,-1,,,,,-1,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,-1,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,,,52.466705322266,-1.4667053222656,-1,
R_3e4EetgJeFvly7v,Default Response Set,Anonymous,,,143.167.71.187,0,2015-03-03 12:20:49,2015-03-03 12:22:10,1,,,1,1,efc,,,,,,,3,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,,-1,,,3,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-1,4,,,,,-1,,,,,,,-1,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,53.36669921875,-1.5,-1,
R_1Q3I2DnevrEoJDO,Default Response Set,Anonymous,,,143.167.169.77,0,2015-03-03 12:45:03,2015-03-03 12:46:19,1,,,1,1,Hannah,,,,,2,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,3,-1,,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,4,,,,-1,,,,-1,,,,,,,,,,53.36669921875,-1.5,-1,
R_3imwi8DT5apfT1p,Default Response Set,Anonymous,,,143.167.18.222,0,2015-03-03 13:06:55,2015-03-03 13:11:13,1,,,1,1,Quicksilver,,,,,,,,,,,,5,,4,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,-1,,,,,,,,,4,,5,,,,,,-1,,,,,,,,4,,-1,,,,,,,,,-1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,-1,,,4,,,,,,,,,,,,,,,,,,,,,,,,-1,,,4,,53.36669921875,-1.5,-1,
R_vfsb1pahuD0zmZr,Default Response Set,Anonymous,,,86.26.23.138,0,2015-03-03 13:24:38,2015-03-03 13:26:25,1,,,1,1,abbey,,,,,,,,,,3,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,-1,,,,,,,-1,3,,,,4,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,,4,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,53.388107299805,-1.4934997558594,-1,
R_3EsckSM5Xc7S305,Default Response Set,Anonymous,,,82.68.82.137,0,2015-03-03 13:37:35,2015-03-03 13:41:01,1,,,1,1,Cartoon,5,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,-1,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-1,,,4,5,,,,,4,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,-1,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,53.600006103516,-2.3000030517578,-1,
R_pQSHKbK5OAkQnAd,Default Response Set,Anonymous,,,81.187.195.131,0,2015-03-03 13:59:53,2015-03-03 14:03:33,1,,,1,1,tile,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,5,,-1,,,,,,,,,-1,,,,,,,,-1,-1,,,,,,,,,-1,,,,5,,,,,,,,,,,,,,,,,-1,,-1,,-1,,,,,,,,-1,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,53,-1.13330078125,-1,
R_3eqVWREIHVGszfk,Default Response Set,Anonymous,,,143.167.51.224,0,2015-03-03 14:06:38,2015-03-03 14:08:48,1,,,1,1,IAMJOSH,,,,,,,,,,,5,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,-1,,1,,,-1,,,,,,-1,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,-1,,,,,,,,,,,,,,,,,,,,5,,,-1,,,,,-1,,,3,,-1,,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,53.36669921875,-1.5,-1,
R_22QPBI6XKwcyJvL,Default Response Set,Anonymous,,,95.138.201.129,0,2015-03-03 14:11:04,2015-03-03 14:17:03,1,,,1,1,The Poet,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,-1,4,,,,,5,,,,,,,,,3,,,,,4,,-1,,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,-1,,,2,-1,,,4,,,,,,,,,,,,,,,,,,-1,,,,,3,,,,,,,,,,,,,,,,,53.273406982422,-1.4145050048828,-1,
R_3ke8KvBLp2r78Fn,Default Response Set,Anonymous,,,143.167.32.149,0,2015-03-03 14:14:44,2015-03-03 14:20:35,1,,,1,1,6 Pin Tumbler,,-1,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,-1,,,,3,,,,-1,,-1,,,,,,,4,-1,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,-1,,,,3,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,53.36669921875,-1.5,-1,
R_3COW9unce1enfF0,Default Response Set,Anonymous,,,91.214.5.128,0,2015-03-03 16:44:41,2015-03-03 16:46:06,1,,,1,1,aDen_76,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,-1,4,,,,,,-1,,,,,,2,3,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,3,,-1,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,5,,4,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,51.5,-0.1300048828125,-1,
R_2ce0d0Ipfdo1RRy,Default Response Set,Anonymous,,,86.133.213.146,0,2015-03-03 17:25:08,2015-03-03 17:28:30,1,,,1,1,HB,,,,,,,-1,4,,,5,,,,,,,5,,-1,,4,,,3,,-1,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,-1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,-1,54.600006103516,-1.3000030517578,-1,
R_2OW5qEMWiX2Fw1K,Default Response Set,Anonymous,,,2.124.198.147,0,2015-03-03 17:55:45,2015-03-03 18:02:57,1,,,1,1,Randy,,,,,,,,,,,,,,-1,,-1,,,,,,,,,1,,,,,,4,5,,,,,,,,,,-1,,,,,2,,,,-1,,,,,,,,-1,,,,,,3,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,,,4,,,-1,,,,,,,,,,,,,,,,,,,,53.36669921875,-1.5,-1,
R_9S61i6mjIWlpFwp,Default Response Set,Anonymous,,,78.146.131.145,0,2015-03-03 20:19:29,2015-03-03 20:23:30,1,,,1,1,sudanbabe,-1,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,-1,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,-1,,,,-1,,-1,,,,,,,,,,,4,,,,,-1,,,,,,,,-1,,,,-1,,,,,,,,,,,53.36669921875,-1.5,-1,
R_27wcLRYvqpg6LLd,Default Response Set,Anonymous,,,143.167.240.57,0,2015-03-03 21:07:11,2015-03-03 21:09:30,1,,,1,1,jimmy_joe,,,,,-1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,5,,,,-1,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,-1,,,,-1,-1,,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,3,,,,-1,,,,-1,,,,,-1,,,,,,-1,,,53.36669921875,-1.5,-1,
R_55ZjKs98gz7VKWR,Default Response Set,Anonymous,,,82.36.235.130,0,2015-03-03 22:38:27,2015-03-03 22:40:54,1,,,1,1,AnonymousAnonymous,,,,,,,,,,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,5,-1,,,,,,,,3,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,-1,,,,,,-1,-1,,,,,,,,3,,53.388107299805,-1.4934997558594,-1,
R_O1cYyDQVjbczFFD,Default Response Set,Anonymous,,,82.132.221.203,0,2015-03-04 00:18:22,2015-03-04 00:21:44,1,,,1,1,zorgborg,4,,,,,,,,,,,,,5,,,,,,3,,4,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,3,,,,,,,,,,,4,,,,-1,,,,,,-1,,,,,,,,,,-1,,,4,-1,51.514205932617,-0.093093872070312,-1,
R_8v3Y9DHxTbagEUl,Default Response Set,Anonymous,,,84.45.220.199,0,2015-03-04 08:24:31,2015-03-04 08:29:16,1,,,1,1,raspi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,3,,,,,,-1,,,,,,5,,,-1,,,-1,,,,,,,,,3,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,3,,,,,,,,,-1,,,,,,,,,,,3,,,,,,,-1,,5,,,3,-1,,,,,-1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,-0.1300048828125,-1,
R_1HjERGoqQQCd1y2,Default Response Set,Anonymous,,,5.66.126.148,0,2015-03-04 08:59:17,2015-03-04 09:01:47,1,,,1,1,Jimmy the P,,,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,-1,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,5,,,,-1,,,,4,5,,,,5,,,,,,,,,,,,,,,,5,,5,,-1,,,,,,,,-1,,,,,,,,,4,,,,3,-1,53.36669921875,-1.5,-1,
R_a4dhiE6TXXk6FrD,Default Response Set,Anonymous,,,143.167.29.245,0,2015-03-04 11:09:43,2015-03-04 11:11:20,1,,,1,1,Omzah,,,,,,,,4,,1,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,3,2,,,,,,,,,,,,,,,,-1,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,,,,,,,,,,,,3,,,,5,,,,,,,,,,-1,-1,-1,,,,,,,,,,,-1,,1,,,,,,-1,,,,,,53.36669921875,-1.5,-1,
R_2y2dNknTxs14s69,Default Response Set,Anonymous,,,143.167.174.108,0,2015-03-04 11:26:47,2015-03-04 11:44:51,1,,,1,1,goldmining,,,,2,,,,,,,,,,-1,,3,,,,,,,,,,,,,-1,,,,,,,,,4,,3,,1,,,,,,,,,,,,,,,,4,,,,2,,,,,-1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,-1,,,,,,53.36669921875,-1.5,-1,
R_2th8Y9BltK7sMt1,Default Response Set,Anonymous,,,143.167.173.35,0,2015-03-04 19:16:24,2015-03-04 19:19:24,1,,,1,1,Alma,,-1,,5,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,-1,,,,,,,,,,-1,,,-1,,,,,,,,-1,,,4,,,,,,,,,,,-1,5,,,,,,,,,,,4,,,,,3,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,-1,,-1,,,,,,,,,53.36669921875,-1.5,-1,
R_6zh0Qz6wa6he9Mx,Default Response Set,Anonymous,,,143.167.214.5,0,2015-03-04 22:20:25,2015-03-04 22:21:33,1,,,1,1,lucky3,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,4,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,-1,,,-1,,,,,-1,,,,,,,,,,,-1,,,-1,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,-1,,,,,,,,,-1,-1,,,,,-1,,,,53.36669921875,-1.5,-1,
R_eEdIkkjZtm7ACyx,Default Response Set,Anonymous,,,143.167.229.38,0,2015-03-04 23:37:15,2015-03-04 23:38:59,1,,,1,1,Schmaylor,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,-1,,4,,5,,,-1,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,-1,,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,-1,,,,,,,,,,,,,53.36669921875,-1.5,-1,
